ISBN, Book Title
054133566, Ulysses by James Joyce 
675329959, Don Quixote by Miguel de Cervantes 
729484098, Moby Dick by Herman Melville 
185915278, Hamlet by William Shakespeare 
079548236, War and Peace by Leo Tolstoy 
520780512, The Odyssey by Homer 
124825481, The Great Gatsby  by F. Scott Fitzgerald 
138162860, The Divine Comedy  by Dante Alighieri  
126285408, Madame Bovary by Gustave Flaubert 
821507024, The Brothers Karamazov  by Fyodor Dostoyevsky 
812915358, One Hundred Years of Solitude  by Gabriel Garcia Marquez  
764919686, The Adventures of Huckleberry Finn by Mark Twain 
811649943, The Iliad by Homer 
532955518, Lolita  by Vladimir Nabokov 
752662263, Anna Karenina by Leo Tolstoy  
622138642, Crime and Punishment  by Fyodor Dostoyevsky 
106152959, Alice's Adventures in Wonderland  by Lewis Carroll 
552737423, The Sound and the Fury by William Faulkner 
052625135, Pride and Prejudice by Jane Austen 
699030627, The Catcher in the Rye by J. D. Salinger 
130427542, Wuthering Heights by Emily BrontÃ« 
032956032, Nineteen Eighty Four by George Orwell 
975424434, Heart of Darkness by Joseph Conrad 
525690898, To the Lighthouse  by Virginia Woolf  
144418159, Absalom Absalom! by William Faulkner 
887404872, Middlemarch by George Eliot 
821051431, The Trial by Franz Kafka 
332990476, One Thousand and One Nights by India/Iran/Iraq/Egypt 
722498033, The Stories of Anton Chekhov by Anton Chekhov 
993738163, The Red and the Black by Stendhal 
706763825, Gulliver's Travels by Jonathan Swift  
194778749, Catch-22  by Joseph Heller 
539497718, The Grapes of Wrath  by John Steinbeck 
635812330, Invisible Man  by Ralph Ellison 
030026060, The Stranger  by Albert Camus 
260470520, Great Expectations by Charles Dickens 
432348257, The Aeneid by Virgil 
406071858, David Copperfield by Charles Dickens 
825732516, Mrs. Dalloway  by Virginia Woolf  
234369910, Beloved by Toni Morrison 
240499631, The Canterbury Tales by Geoffrey Chaucer 
213162630, Collected Fiction by Jorge Luis Borges 
958962211, Leaves of Grass by Walt Whitman 
209364664, Candide by Voltaire 
468190210, Jane Eyre by Charlotte BrontÃ« 
019241416, As I Lay Dying by William Faulkner 
269862681, The Sun Also Rises  by Ernest Hemingway 
609771344, The Complete Stories of Franz Kafka by Franz Kafka 
953252438, Tristram Shandy by Laurence Sterne 
372270199, The Portrait of a Lady  by Henry James 
271026936, Oedipus the King by Sophocles 
824423145, Les MisÃ©rables by Victor Hugo 
846832985, To Kill a Mockingbird  by Harper Lee 
077630541, Paradise Lost by John Milton 
479778819, The Complete Tales and Poems of Edgar Allan Poe by Edgar Allan Poe 
660595925, Pale Fire  by Vladimir Nabokov 
447920367, A Passage to India  by E.M. Forster 
560605967, The Idiot by Fyodor Dostoyevsky 
026292433, The Scarlet Letter by Nathaniel Hawthorne 
847908542, Antigone by Sophocles 
709604311, Faust by Johann Wolfgang von Goethe 
529408420, The Magic Mountain by Thomas Mann 
846144467, Dead Souls by Nikolai Gogol 
546843437, The Metamorphosis by Franz Kafka 
872883601, Midnight's Children  by Salman Rushdie 
950759377, Emma by Jane Austen 
331386630, For Whom the Bell Tolls by Ernest Hemingway 
442954882, Frankenstein  by Mary Shelley 
042552863, Journey to the End of The Night by Louis-Ferdinand CÃ©line 
882720833, Oresteia by Aeschylus 
883469802, The Old Man and the Sea by Ernest Hemingway 
324806007, Vanity Fair by William Makepeace Thackeray 
445966357, The Complete Stories of Flannery O'Connor by Flannery O'Connor 
721086330, Under the Volcano  by Malcolm Lowry 
330861636, Time Gargantua and Pantagruel by Francois Rabelais 
815555796, Tom Jones by Henry Fielding 
193949373, Fairy Tales and Stories by Hans Christian Anderson 
296538368, Things Fall Apart  by Chinua Achebe 
989052576, Time The Flowers of Evil by Charles Baudelaire 
656979180, Brave New World by Aldous Huxley 
506319322, The Tin Drum by GÃ¼nter Grass 
438136004, The Good Soldier by Ford Madox Ford 
902912484, A Farewell to Arms by Ernest Hemingway 
713826945, The Possessed by Fyodor Dostoevsky 
956619393, Poems of Emily Dickinson by Emily Dickinson 
035221410, On the Road by Jack Kerouac 
050587710, The Master and Margarita by Mikhail Bulgakov 
964960134, The Castle by Franz Kafka 
012563374, Father Goriot by HonorÃ© de Balzac 
702464283, Stories of Ernest Hemingway by Ernest Hemingway 
764413204,  Robinson Crusoe by Daniel Defoe 
699480416, Collected Poems of W. B. Yeats by W. B. Yeats 
220376799, The Charterhouse of Parma by Stendhal 
947082776, The Tale of Genji by Murasaki Shikibu 
802117868, Oedipus at Colonus by Sophocles 
439495682, Fathers and Sons by Ivan Turgenev 
456708044, Metamorphoses by Ovid 
956562451, Decameron by Giovanni Boccaccio 
185064942, The Waste Land by T. S. Eliot 
397926236, A Sentimental Education by Gustave Flaubert 
627482778, Cousin Bette by HonorÃ© de Balzac 
118536303, Dangerous Liaison by Pierre Choderlos de Laclos 
583012628, Animal Farm by George Orwell 
530146989, Tess of the d'Urbervilles by Thomas Hardy 
633500651, Lord of the Flies  by William Golding 
746098941, King Lear by William Shakespeare 
241836127, American Pastoral by Philip Roth 
559302755, The Age of Innocence by Edith Wharton 
489063692, The Lord of the Rings by J. R. R. Tolkien  
085677750, Treasure Island by Robert Louis Stevenson 
290598713, All the King's Men by Robert Penn Warren 
