customer ID,rating (out of 5),book ID
2, 4, 191634412
5, 1, 532955518
3, 5, 639680525
5, 5, 713826945
2, 3, 565250048
5, 2, 518067223
5, 2, 682680387
6, 1, 568490563
6, 3, 456708044
1, 2, 872883601
6, 1, 817593217
6, 5, 868147099
7, 3, 054133566
8, 1, 729484098
1, 3, 011539662
7, 3, 506319322
1, 4, 476546023
3, 4, 518067223
6, 5, 812915358
3, 2, 019241416
9, 3, 045523942
5, 4, 103201942
6, 1, 165519489
7, 4, 825732516
2, 5, 309798465
3, 4, 882720833
5, 4, 200368010
4, 2, 648483655
0, 5, 167363836
4, 5, 521210861
0, 4, 989052576
8, 4, 045523942
8, 2, 213162630
0, 4, 019241416
3, 5, 290598713
0, 1, 559302755
3, 5, 037712535
7, 3, 824423145
2, 5, 495930244
9, 2, 209364664
8, 3, 614380508
7, 2, 064251147
4, 3, 045523942
3, 4, 336026982
8, 3, 546843437
8, 1, 974845315
8, 1, 745534467
0, 1, 144418159
0, 4, 015869456
5, 5, 967131129
9, 5, 785204329
9, 2, 331248737
6, 1, 439654807
7, 4, 015869456
4, 1, 518067223
1, 3, 764919686
0, 5, 656979180
3, 2, 324475134
4, 2, 059725023
9, 5, 975424434
2, 5, 541458700
3, 2, 191634412
5, 3, 932492193
3, 5, 752662263
3, 1, 578812600
9, 2, 052625135
0, 2, 667890032
2, 1, 532955518
0, 3, 059725023
3, 5, 351083536
7, 3, 329373788
4, 4, 300754528
5, 4, 894643710
5, 5, 476546023
9, 5, 846144467
7, 1, 209364664
9, 3, 448367864
1, 5, 729484098
0, 1, 639680525
9, 4, 165519489
3, 5, 989568228
3, 2, 707624147
2, 3, 112213362
7, 4, 479778819
1, 2, 752662263
3, 3, 868147099
2, 4, 991631529
7, 5, 563916049
7, 3, 296538368
5, 5, 064251147
1, 3, 813621038
2, 2, 675329959
6, 5, 734697213
8, 3, 682204889
0, 2, 722498033
4, 2, 825732516
7, 2, 079548236
3, 2, 446843710
5, 5, 912093792
1, 5, 054133566
6, 4, 950759377
5, 5, 351083536
7, 1, 958186039
5, 5, 642811062
6, 1, 958426647
9, 4, 847908542
1, 3, 958962211
2, 2, 706763825
5, 2, 631438252
7, 1, 240499631
4, 1, 868147099
4, 4, 595774149
4, 5, 167363836
1, 4, 389602779
2, 2, 635812330
6, 5, 565250048
3, 2, 702464283
8, 2, 956619393
9, 1, 912093792
2, 5, 331386630
5, 1, 821507024
1, 5, 956562451
4, 1, 456708044
4, 3, 634755515
1, 2, 552737423
1, 2, 636160846
2, 4, 708664425
8, 3, 194778749
0, 4, 549803945
2, 2, 439654807
1, 3, 956619393
3, 2, 331386630
1, 4, 448367864
8, 1, 956562451
9, 1, 872883601
8, 5, 528803995
4, 1, 947082776
5, 4, 074230713
5, 2, 241836127
6, 2, 753884775
0, 2, 309798465
5, 1, 489063692
3, 4, 497524684
0, 4, 234369910
0, 2, 583012628
3, 2, 956619393
3, 3, 706100709
4, 1, 112213362
5, 1, 142549854
3, 1, 030026060
8, 2, 722498033
8, 5, 059725023
6, 2, 336026982
5, 5, 260470520
9, 2, 142549854
1, 4, 442954882
0, 3, 989568228
8, 2, 706100709
2, 3, 468190210
1, 2, 554528623
6, 3, 290598713
3, 2, 033241383
0, 4, 609771344
7, 3, 817593217
4, 1, 432348257
5, 3, 989052576
8, 4, 146956317
5, 1, 982033889
3, 1, 699480416
3, 4, 011539662
3, 2, 950759377
9, 5, 675329959
5, 3, 187734307
3, 4, 220376799
6, 4, 639680525
5, 1, 947082776
6, 1, 432348257
1, 1, 309798465
3, 5, 302650516
5, 3, 943298433
9, 4, 064251147
5, 1, 648483655
1, 5, 372270199
9, 2, 554528623
2, 2, 168229020
7, 3, 146956317
0, 1, 106152959
3, 1, 009475572
6, 4, 656979180
3, 1, 165519489
3, 3, 989052576
0, 2, 010314102
8, 2, 967131129
1, 5, 012563374
2, 4, 330861636
2, 5, 667890032
4, 2, 894643710
8, 1, 191634412
0, 3, 563916049
0, 5, 011539662
8, 1, 389602779
0, 1, 193949373
1, 5, 167363836
4, 3, 722498033
1, 3, 709604311
4, 1, 271026936
1, 5, 707624147
5, 1, 807063105
5, 2, 569298967
0, 1, 468190210
5, 4, 336026982
0, 1, 138162860
6, 1, 026292433
